Feature,Importance
Temperature(°C),0.2981919401008576
Hour,0.2868756181073697
Functioning Day,0.08884186139538755
Solar Radiation (MJ/m2),0.08806542945361501
Humidity(%),0.059955226980206056
Rainfall(mm),0.04200202255673922
Weekday,0.03501137585718501
Seasons,0.028911108124601036
Dew point temperature(°C),0.023818531904276397
Month,0.015529828159488883
Day,0.00963499142863859
Visibility (10m),0.008875672088271922
Wind speed (m/s),0.008680547098926123
Holiday,0.005046371611435742
Snowfall (cm),0.0005594751330011264
